date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:54:59	85474/85474	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Jun%202019%2008:54:58%20GMT	https://www.mzcxla.com/	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/www.mzcxla.com/index.html	(from )
01:54:59	108/108	---M-Z	200	added ('OK')	text/plain	date:Wed,%2012%20Jun%202019%2008:54:58%20GMT	https://www.mzcxla.com/robots.txt		(from )
01:55:00	13212/13212	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2012%20Jun%202019%2008:54:59%20GMT	https://www.mzcxla.com/runtime-service-worker.js?v=1	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/www.mzcxla.com/runtime-service-worker3860.js	(from https://www.mzcxla.com/)
01:55:00	54/54	---M--	400	error ('Bad%20Request')	application/json	date:Wed,%2012%20Jun%202019%2008:55:00%20GMT	https://www.mzcxla.com/_dm/s/rt/actions/cacheKey	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/www.mzcxla.com/_dm/s/rt/actions/cacheKey.1.delayed	(from https://www.mzcxla.com/)
01:55:01	242/242	---M--	200	added ('OK')	image/x-icon	etag:W/%22242-1559812767000%22	https://www.mzcxla.com/favicon_d1_res.ico	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/www.mzcxla.com/favicon_d1_res.ico	(from https://www.mzcxla.com/)
01:55:01	688/688	---M-Z	200	added ('OK')	text/xml	date:Wed,%2012%20Jun%202019%2008:55:00%20GMT	http://www.mzcxla.com/feed/rss2	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/www.mzcxla.com/feed/rss2	(from https://www.mzcxla.com/)
01:55:02	625/625	---M--	200	added ('OK')	application/atom+xml	date:Wed,%2012%20Jun%202019%2008:55:01%20GMT	http://www.mzcxla.com/feed/atom	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/www.mzcxla.com/feed/atom	(from https://www.mzcxla.com/)
01:55:02	116167/116167	---M--	200	added ('OK')	image/jpeg	etag:%228eef2b50b08243e8f09eadeebea0067a%22	https://irp-cdn.multiscreensite.com/9e313fc3/dms3rep/multi/mobile/3C647DA4-32DA-4D0D-A184-BF336AE91878.jpg	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/irp-cdn.multiscreensite.com/9e313fc3/dms3rep/multi/mobile/3C647DA4-32DA-4D0D-A184-BF336AE91878.jpg	(from https://www.mzcxla.com/)
01:55:03	93390/93390	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Jun%202019%2008:55:02%20GMT	https://www.mzcxla.com/summary	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/www.mzcxla.com/summary.html	(from https://www.mzcxla.com/)
01:55:04	63902/63902	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Jun%202019%2008:55:03%20GMT	https://www.mzcxla.com/social	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/www.mzcxla.com/social.html	(from https://www.mzcxla.com/)
01:55:04	63230/63230	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Jun%202019%2008:55:03%20GMT	https://www.mzcxla.com/location-karakuri	C:/Users/phant/Desktop/sbwork/s19/cs185/notebook/notebookv1/www.mzcxla.com/location-karakuri.html	(from https://www.mzcxla.com/)
